model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar100_epochs300_pretrain100,Original,BIM,InceptionNet (Original),6083332,0.5658,0.3339,0.3339,0.4342,0.6661,0.6661,0.2319,0.4098621420996818,0.5901378579003181
RegNetX_400MF,Cifar10_epochs200_pretrain200,Finetuned,BIM,RegNetX_400MF (Finetuned),3997610,0.769,0.518,0.518,0.2309999999999999,0.482,0.482,0.251,0.3263979193758127,0.6736020806241872
RegNetX_400MF,Cifar10_epochs300_pretrain100,Finetuned,BIM,RegNetX_400MF (Finetuned),3997610,0.7867,0.5111,0.5111,0.2133,0.4889,0.4889,0.2755999999999999,0.3503241388076776,0.6496758611923223
RegNetX_400MF,Cifar10_epochs100_pretrain300,Finetuned,BIM,RegNetX_400MF (Finetuned),3997610,0.7868,0.5392,0.5392,0.2131999999999999,0.4608,0.4608,0.2476,0.3146924250127097,0.6853075749872902
RegNetX_400MF,Cifar10_epochs3_pretrain3,Finetuned,BIM,RegNetX_400MF (Finetuned),3997610,0.374,0.1085,0.1085,0.626,0.8915,0.8915,0.2655,0.7098930481283423,0.2901069518716577
RegNetX_400MF,Cifar10_epochs200_pretrain200,Original,BIM,RegNetX_400MF (Original),4776362,0.733,0.4692,0.4692,0.267,0.5307999999999999,0.5307999999999999,0.2638,0.3598908594815825,0.6401091405184175
RegNetX_400MF,Cifar10_epochs300_pretrain100,Original,BIM,RegNetX_400MF (Original),4776362,0.7663,0.5167,0.5167,0.2337,0.4832999999999999,0.4832999999999999,0.2495999999999999,0.3257209969985644,0.6742790030014355
RegNetX_400MF,Cifar10_epochs100_pretrain300,Original,BIM,RegNetX_400MF (Original),4776362,0.7167,0.3827,0.3827,0.2833,0.6173,0.6173,0.334,0.466024836054137,0.533975163945863
RegNetX_400MF,Cifar10_epochs3_pretrain3,Original,BIM,RegNetX_400MF (Original),4776362,0.3104,0.0305,0.0305,0.6896,0.9695,0.9695,0.2799,0.9017396907216496,0.0982603092783505
ConvNeXt,Cifar100|epochs200_pretrain200,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0134,0.0041,0.0041,0.9866,0.9959,0.9959,0.0093,0.6940298507462686,0.3059701492537313
ConvNeXt,Cifar100|epochs3_pretrain3,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.01,0.0054,0.0054,0.99,0.9946,0.9946,0.0046,0.4599999999999999,0.54
ConvNeXt,Cifar100|epochs300_pretrain100,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0121,0.0059,0.0059,0.9879,0.9941,0.9941,0.0062,0.512396694214876,0.4876033057851239
ConvNeXt,Cifar100|epochs100_pretrain300,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0096,0.0029,0.0029,0.9904,0.9971,0.9971,0.0066999999999999,0.6979166666666666,0.3020833333333333
ConvNeXt,Cifar100|epochs200_pretrain200,Original,BIM,ConvNeXt (Original),27897028,0.4159,0.2271,0.2271,0.5841000000000001,0.7729,0.7729,0.1888,0.4539552777109882,0.5460447222890118
ConvNeXt,Cifar100|epochs3_pretrain3,Original,BIM,ConvNeXt (Original),27897028,0.2409,0.151,0.151,0.7591,0.849,0.849,0.0899,0.3731838937318389,0.6268161062681611
ConvNeXt,Cifar100|epochs300_pretrain100,Original,BIM,ConvNeXt (Original),27897028,0.412,0.2312,0.2312,0.5880000000000001,0.7688,0.7688,0.1808,0.4388349514563107,0.5611650485436893
VGG16,Cifar10|epochs3_pretrain3,Finetuned,CW,VGG16 (Finetuned),21893450,0.7592,0.0392,0.0392,0.2408,0.9608,0.9608,0.72,0.9483667017913592,0.0516332982086406
VGG16,Cifar10|epochs100_pretrain300,Finetuned,CW,VGG16 (Finetuned),21893450,0.9167,0.0119,0.0119,0.0833,0.9881,0.9881,0.9048,0.987018653867132,0.0129813461328678
VGG16,Cifar10|epochs200_pretrain200,Original,CW,VGG16 (Original),33663050,0.9245,0.0053,0.0053,0.0755,0.9947,0.9947,0.9192,0.994267171444024,0.0057328285559762
VGG16,Cifar10|epochs300_pretrain100,Original,CW,VGG16 (Original),33663050,0.9287,0.0008,0.0008,0.0713,0.9992,0.9992,0.9279,0.9991385808118876,0.0008614191881124
VGG16,Cifar10|epochs3_pretrain3,Original,CW,VGG16 (Original),33663050,0.5429,0.1037,0.1037,0.4570999999999999,0.8963,0.8963,0.4392,0.8089887640449438,0.1910112359550561
VGG16,Cifar10|epochs100_pretrain300,Original,CW,VGG16 (Original),33663050,0.9204,0.0008,0.0008,0.0796,0.9992,0.9992,0.9196,0.9991308126901348,0.0008691873098652
InceptionNet,Cifar10|epochs100_pretrain300,Finetuned,DeepFool,InceptionNet (Finetuned),3809226,0.8634,0.1679,0.1679,0.1366,0.8321000000000001,0.8321000000000001,0.6955,0.8055362520268706,0.1944637479731294
InceptionNet,Cifar10|epochs300_pretrain100,Finetuned,DeepFool,InceptionNet (Finetuned),4400554,0.8549,0.1909,0.1909,0.1451,0.8091,0.8091,0.664,0.7766990291262137,0.2233009708737864
InceptionNet,Cifar10|epochs200_pretrain200,Finetuned,DeepFool,InceptionNet (Finetuned),4049962,0.8575,0.1852,0.1852,0.1424999999999999,0.8148,0.8148,0.6723,0.7840233236151604,0.2159766763848396
InceptionNet,Cifar10|epochs3_pretrain3,Finetuned,DeepFool,InceptionNet (Finetuned),3809226,0.6828,0.1164,0.1164,0.3172,0.8835999999999999,0.8835999999999999,0.5664,0.8295254833040423,0.1704745166959578
InceptionNet,Cifar10|epochs100_pretrain300,Original,DeepFool,InceptionNet (Original),5991082,0.8528,0.1722,0.1722,0.1472,0.8278,0.8278,0.6806,0.798076923076923,0.2019230769230769
InceptionNet,Cifar10|epochs300_pretrain100,Original,DeepFool,InceptionNet (Original),5991082,0.8594,0.1775,0.1775,0.1405999999999999,0.8225,0.8225,0.6819000000000001,0.7934605538747964,0.2065394461252036
InceptionNet,Cifar10|epochs200_pretrain200,Original,DeepFool,InceptionNet (Original),5991082,0.86,0.1685,0.1685,0.14,0.8315,0.8315,0.6915,0.8040697674418604,0.1959302325581395
InceptionNet,Cifar10|epochs3_pretrain3,Original,DeepFool,InceptionNet (Original),5991082,0.6513,0.108,0.108,0.3487,0.892,0.892,0.5433,0.8341777982496545,0.1658222017503454
RegNetX_400MF,Cifar10_epochs200_pretrain200,Finetuned,PGD,RegNetX_400MF (Finetuned),3997610,0.769,0.139,0.139,0.2309999999999999,0.861,0.861,0.63,0.8192457737321196,0.1807542262678803
RegNetX_400MF,Cifar10_epochs300_pretrain100,Finetuned,PGD,RegNetX_400MF (Finetuned),3997610,0.7867,0.1228,0.1228,0.2133,0.8772,0.8772,0.6638999999999999,0.8439049192830812,0.1560950807169188
