model,dataset,attack,original_clean_acc,original_robust_accuracy,original_attack_success_rate,original_relative_accuracy_drop,original_robustness_ratio,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy,collapsed_attack_success_rate,collapsed_relative_accuracy_drop,collapsed_robustness_ratio,collapsed_param_count,collapsed_minus_original_attack_success_rate,collapsed_minus_original_robust_accuracy,collapsed_minus_original_relative_accuracy_drop,collapsed_minus_original_robustness_ratio,params_reduction_percent
VGG16,Cifar100,DeepFool,0.5486,0.0547,0.9453,0.9002916514764856,0.0997083485235144,34031780.0,0.6785,0.1011,0.8989,0.8509948415622698,0.1490051584377303,22623396.0,-0.0464,0.0464,-0.04929680991421581,0.049296809914215894,33.522736689059464
VGG16,Cifar100,FGSM,0.5486,0.1028,0.8972,0.8126139263580022,0.1873860736419978,34031780.0,0.6785,0.1749,0.8251,0.7422254974207813,0.2577745025792188,22623396.0,-0.07210000000000005,0.0721,-0.07038842893722097,0.070388428937221,33.522736689059464
VGG16,Cifar100,PGD,0.5488,0.0297,0.9703,0.9458819241982508,0.0541180758017492,34031780.0,0.6784,0.0427,0.9573,0.937057783018868,0.062942216981132,22623396.0,-0.013000000000000012,0.013000000000000001,-0.008824141179382794,0.008824141179382801,33.522736689059464
XceptionNet,Cifar10,APGD,0.8712,0.1162,0.8838,0.8666207529843893,0.1333792470156106,20827442.0,0.8875,0.1602,0.8398,0.8194929577464789,0.1805070422535211,11193490.0,-0.04400000000000004,0.04400000000000001,-0.04712779523791044,0.0471277952379105,46.25605007086324
XceptionNet,Cifar10,BIM,0.8712,0.6108,0.3892,0.2988980716253443,0.7011019283746557,20827442.0,0.8875,0.678,0.3219999999999999,0.2360563380281689,0.7639436619718311,11193490.0,-0.06720000000000009,0.06720000000000004,-0.06284173359717543,0.06284173359717538,46.25605007086324
XceptionNet,Cifar10,CW,0.8712,0.0015,0.9985,0.9982782369146006,0.0017217630853994,20827442.0,0.8875,0.0293,0.9707,0.9669859154929578,0.0330140845070422,11193490.0,-0.027800000000000047,0.0278,-0.031292321421642844,0.0312923214216428,46.25605007086324
XceptionNet,Cifar10,DeepFool,0.8712,0.2172,0.7827999999999999,0.7506887052341598,0.2493112947658402,20827442.0,0.8875,0.2477,0.7523,0.7209014084507042,0.2790985915492958,11193490.0,-0.03049999999999997,0.0305,-0.029787296783455597,0.02978729678345557,46.25605007086324
XceptionNet,Cifar10,FGSM,0.8712,0.404,0.596,0.5362718089990817,0.4637281910009183,20827442.0,0.8875,0.4432,0.5568,0.5006197183098592,0.4993802816901408,11193490.0,-0.03920000000000001,0.03919999999999996,-0.03565209068922248,0.03565209068922254,46.25605007086324
XceptionNet,Cifar10,PGD,0.8712,0.1901,0.8099000000000001,0.7817952249770432,0.2182047750229568,20827442.0,0.8875,0.2387,0.7613,0.7310422535211267,0.2689577464788732,11193490.0,-0.04860000000000009,0.048600000000000004,-0.05075297145591651,0.050752971455916424,46.25605007086324
XceptionNet,Cifar100,APGD,0.5915,0.043,0.957,0.9273034657650042,0.0726965342349957,21011852.0,0.601,0.0593,0.9407,0.9013311148086522,0.0986688851913477,13481196.0,-0.01629999999999998,0.016300000000000002,-0.025972350956351975,0.025972350956352003,35.840039231192
