model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,explainability_shap_cosine_similarity,explainability_shap_pearson_r,explainability_shap_spearman_r,explainability_shap_topk_jaccard,explainability_shap_l1_mean_abs_diff,explainability_shap_l2_distance,explainability_shap_pair_count,robustness_per_flop,transfer_resistance_per_latency
XceptionNet,Cifar10_epochs300_pretrain100,Finetuned,XceptionNet (Finetuned),13839874,,25.832913001067936,9909.838661610362,6365.18798828125,0.38283333333333336,0.6171666666666665,,,0.0393,,,,,,,,,
XceptionNet,Cifar10_epochs3_pretrain3,Original,XceptionNet (Original),20827442,,24.810021556913853,10318.411026477324,6365.18798828125,0.2295666666666667,0.7704333333333334,,,0.0041666666666666,,,,,,,,,
XceptionNet,Cifar10_epochs200_pretrain200,Original,XceptionNet (Original),20827442,,24.85492683481425,10299.768802434022,6365.18798828125,0.4063666666666667,0.5936333333333333,,,-0.0077333333333333,,,,,,,,,
XceptionNet,Cifar10_epochs100_pretrain300,Original,XceptionNet (Original),20827442,,24.985442869365215,10245.966074665139,6365.18798828125,0.3769,0.6231,,,-0.0503333333333333,,,,,,,,,
XceptionNet,Cifar10_epochs300_pretrain100,Original,XceptionNet (Original),20827442,,24.960979213938117,10256.007899603977,6365.18798828125,0.4221333333333333,0.5778666666666666,,,0.0393,,,,,,,,,
XceptionNet,Cifar100_epochs3_pretrain3,Finetuned,XceptionNet (Finetuned),11377900,,21.83847490232438,11722.430304542586,6365.27587890625,0.0261,0.9739,,,-0.004,,,,,,,,,
XceptionNet,Cifar100_epochs100_pretrain300,Finetuned,XceptionNet (Finetuned),13481196,,25.981366960331798,9853.215205761087,6365.27587890625,0.0857,0.9143,,,-0.0137,,,,,,,,,
XceptionNet,Cifar100_epochs300_pretrain100,Finetuned,XceptionNet (Finetuned),13481196,,25.896284985356033,9885.587841837709,6365.27587890625,0.0704,0.9296,,,0.0206999999999999,,,,,,,,,
XceptionNet,Cifar100_epochs200_pretrain200,Finetuned,XceptionNet (Finetuned),13481196,,25.91687310487032,9877.734824109328,6365.27587890625,0.083,0.917,,,-0.0007999999999999,,,,,,,,,
XceptionNet,Cifar100_epochs3_pretrain3,Original,XceptionNet (Original),21011852,,24.895386095158756,10283.029916526688,6365.27587890625,0.0221,0.9779,,,-0.004,,,,,,,,,
XceptionNet,Cifar100_epochs100_pretrain300,Original,XceptionNet (Original),21011852,,24.886634713038802,10286.6459427668,6365.27587890625,0.072,0.928,,,-0.0137,,,,,,,,,
XceptionNet,Cifar100_epochs300_pretrain100,Original,XceptionNet (Original),21011852,,24.948846991173923,10260.995231185005,6365.27587890625,0.0911,0.9089,,,0.0206999999999999,,,,,,,,,
XceptionNet,Cifar100_epochs200_pretrain200,Original,XceptionNet (Original),21011852,,22.160445898771286,11552.114121232291,6365.27587890625,0.0822,0.9178,,,-0.0007999999999999,,,,,,,,,
XceptionNet,tinyimagenet_epochs3_pretrain3,Finetuned,XceptionNet (Finetuned),11582800,,31.0714153572917,8239.083963708885,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs100_pretrain300,Finetuned,XceptionNet (Finetuned),16544016,,32.22550954669714,7944.017134284165,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs300_pretrain100,Finetuned,XceptionNet (Finetuned),16872640,,34.672265755943954,7383.4228718125605,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs200_pretrain200,Finetuned,XceptionNet (Finetuned),15791560,,34.504909557290375,7419.234053488803,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs3_pretrain3,Original,XceptionNet (Original),21216752,,31.500023999251425,8126.97793519407,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs100_pretrain300,Original,XceptionNet (Original),21216752,,31.507310597226024,8125.098434219861,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs300_pretrain100,Original,XceptionNet (Original),21216752,,31.4705754397437,8134.582746672678,6959.37353515625,,,,,,,,,,,,,,
XceptionNet,tinyimagenet_epochs200_pretrain200,Original,XceptionNet (Original),21216752,,31.55050880741328,8113.973741680161,6959.37353515625,,,,,,,,,,,,,,
ConvNeXt,Cifar10_epochs3_pretrain3,Finetuned,ConvNeXt (Finetuned),2482666,,5.95601755194366,42981.74036046252,6305.18798828125,0.0557,0.9443,,,0.229125,,,,,,,,,
ConvNeXt,Cifar10_epochs100_pretrain300,Finetuned,ConvNeXt (Finetuned),2482666,,3.8699171505868435,66151.28697553113,6305.18798828125,0.043633333333333336,0.9563666666666667,,,0.31435,,,,,,,,,
ConvNeXt,Cifar10_epochs300_pretrain100,Finetuned,ConvNeXt (Finetuned),2518762,,6.033151596784592,42432.21737316147,6305.18798828125,0.03326666666666667,0.9667333333333333,,,0.3525749999999999,,,,,,,,,
ConvNeXt,Cifar10_epochs200_pretrain200,Finetuned,ConvNeXt (Finetuned),2482666,,3.7996416445821524,67374.77476725371,6305.18798828125,0.03373333333333334,0.9662666666666667,,,0.34665,,,,,,,,,
ConvNeXt,Cifar10_epochs3_pretrain3,Original,ConvNeXt (Original),27827818,,8.670338639058173,29525.951713900802,6305.18798828125,0.28,0.72,,,0.229125,,,,,,,,,
ConvNeXt,Cifar10_epochs100_pretrain300,Original,ConvNeXt (Original),27827818,,7.261144486255944,35256.150113052085,6305.18798828125,0.36505000000000004,0.6349499999999999,,,0.31435,,,,,,,,,
ConvNeXt,Cifar10_epochs300_pretrain100,Original,ConvNeXt (Original),27827818,,7.2792332619428635,35168.5391562342,6305.18798828125,0.38625,0.61375,,,0.3525749999999999,,,,,,,,,
ConvNeXt,Cifar10_epochs200_pretrain200,Original,ConvNeXt (Original),27827818,,8.574768644757569,29855.03290010197,6305.18798828125,0.38189999999999996,0.6181,,,0.34665,,,,,,,,,
ConvNeXt,Cifar100_epochs200_pretrain200,Finetuned,ConvNeXt (Finetuned),2551876,,5.331026017665863,48020.77482864866,6305.27587890625,0.0061,0.9939,,,0.1518499999999999,,,,,,,,,
ConvNeXt,Cifar100_epochs3_pretrain3,Finetuned,ConvNeXt (Finetuned),2551876,,3.768472606316209,67932.03155329486,6305.27587890625,0.00825,0.99175,,,0.08755,,,,,,,,,
ConvNeXt,Cifar100_epochs300_pretrain100,Finetuned,ConvNeXt (Finetuned),2551876,,5.338625703006983,47952.41589156698,6305.27587890625,0.00475,0.99525,,,0.15845,,,,,,,,,
ConvNeXt,Cifar100_epochs100_pretrain300,Finetuned,ConvNeXt (Finetuned),2551876,,3.857742459513247,66360.05453622245,6305.27587890625,0.004399999999999999,0.9956,,,0.1475999999999999,,,,,,,,,
ConvNeXt,Cifar100_epochs200_pretrain200,Original,ConvNeXt (Original),27897028,,8.913456252776086,28720.621130582098,6305.27587890625,0.15795,0.84205,,,0.1518499999999999,,,,,,,,,
ConvNeXt,Cifar100_epochs3_pretrain3,Original,ConvNeXt (Original),27897028,,7.412336580455303,34537.017743502845,6305.27587890625,0.0958,0.9042,,,0.08755,,,,,,,,,
ConvNeXt,Cifar100_epochs300_pretrain100,Original,ConvNeXt (Original),27897028,,7.135917106643319,35874.8561921595,6305.27587890625,0.1632,0.8368,,,0.15845,,,,,,,,,
ConvNeXt,Cifar100_epochs100_pretrain300,Original,ConvNeXt (Original),27897028,,6.653478508815169,38476.11436045469,6305.27587890625,0.152,0.8480000000000001,,,0.1475999999999999,,,,,,,,,
ConvNeXt,tinyimagenet_epochs100_pretrain300,Finetuned,ConvNeXt (Finetuned),8892008,,22.558488603681326,11348.278002907664,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs300_pretrain100,Finetuned,ConvNeXt (Finetuned),843176,,12.643426097929478,20247.67638274275,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs200_pretrain200,Finetuned,ConvNeXt (Finetuned),843176,,12.631834764033556,20266.256231351694,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs3_pretrain3,Finetuned,ConvNeXt (Finetuned),1186472,,14.63287069927901,17494.858340586143,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs100_pretrain300,Original,ConvNeXt (Original),27973928,,28.090575663372874,9113.376780448,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs300_pretrain100,Original,ConvNeXt (Original),27973928,,27.76280699763447,9220.969623922123,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs200_pretrain200,Original,ConvNeXt (Original),27973928,,27.836076146923006,9196.698509114338,6719.37353515625,,,,,,,,,,,,,,
ConvNeXt,tinyimagenet_epochs3_pretrain3,Original,ConvNeXt (Original),27973928,,28.162468154914677,9090.11236486121,6719.37353515625,,,,,,,,,,,,,,
