source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,gradient_similarity,same_architecture,same_kind,pair_type
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),MobileNet,Original,MobileNet (Original),Cifar100,0.043524160981178284,False,False,cross_arch_cross_kind
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar100,0.035673180129379034,False,True,cross_arch_same_kind
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar100,0.04369496740400791,False,False,cross_arch_cross_kind
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar100,-0.001948677258042153,False,True,cross_arch_same_kind
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar100,0.023188597057014704,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar100,0.003971917962189764,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),VGG16,Original,VGG16 (Original),Cifar100,0.007306523155421019,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar100,0.10309033282101154,True,False,same_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar100,0.9835221469402313,True,True,self_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar100,0.0158391569275409,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),InceptionNet,Original,InceptionNet (Original),Cifar100,0.013259188504889607,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),MobileNet,Original,MobileNet (Original),Cifar100,0.032240355387330055,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar100,0.023395022377371788,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),XceptionNet,Original,XceptionNet (Original),Cifar100,0.028482927940785885,False,True,cross_arch_same_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar100,-0.0008377346966881305,False,False,cross_arch_cross_kind
RegNetX_400MF,Original,RegNetX_400MF (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar100,0.023984042927622795,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar100,0.01916669961065054,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),VGG16,Original,VGG16 (Original),Cifar100,0.02955479547381401,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar100,0.021187687292695045,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar100,0.01583915646187961,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar100,0.8102349489927292,True,True,self_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),InceptionNet,Original,InceptionNet (Original),Cifar100,0.09664737619459629,True,False,same_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),MobileNet,Original,MobileNet (Original),Cifar100,0.027817409951239824,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar100,0.07170800119638443,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar100,0.06488887779414654,False,False,cross_arch_cross_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar100,-0.0008148123743012547,False,True,cross_arch_same_kind
InceptionNet,Finetuned,InceptionNet (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar100,0.026604314800351858,False,False,cross_arch_cross_kind
InceptionNet,Original,InceptionNet (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar100,0.016836257418617606,False,False,cross_arch_cross_kind
