model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
RegNetX_400MF,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.7281,,0.7026,,-0.025499999999999967,,,,False,0.025499999999999967
RegNetX_400MF,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8584,,0.8486,,-0.009800000000000031,,,,False,0.009800000000000031
RegNetX_400MF,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8584,,0.8526,,-0.005800000000000027,,,,False,0.005800000000000027
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9999,,0.9999,,0.0,,,,False,0.0
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9999,,1.0,,9.999999999998899e-05,,,,False,9.999999999998899e-05
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9987,,0.9981,,-0.0006000000000000449,,,,False,0.0006000000000000449
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9987,,0.9988,,9.999999999998899e-05,,,,False,9.999999999998899e-05
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9992,,0.9987,,-0.0004999999999999449,,,,False,0.0004999999999999449
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9992,,0.9995,,0.000300000000000078,,,,False,0.000300000000000078
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9992,,0.999,,-0.00019999999999997797,,,,False,0.00019999999999997797
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9992,,0.9996,,0.00040000000000006697,,,,False,0.00040000000000006697
VGG16,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9799,,0.9762,,-0.0037000000000000366,,,,False,0.0037000000000000366
VGG16,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9799,,0.9618,,-0.018100000000000005,,,,False,0.018100000000000005
VGG16,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.7334,0.0,0.7273000000000001,0.0,-0.006099999999999994,-inf,0.0,,True,0.006099999999999994
VGG16,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.7334,0.0,0.6735,0.0,-0.059900000000000064,-inf,0.0,,True,0.059900000000000064
VGG16,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9982,,0.998,,-0.00019999999999997797,,,,False,0.00019999999999997797
VGG16,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9982,,0.9992,,0.0010000000000000009,,,,False,0.0010000000000000009
VGG16,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9402,,0.9035,,-0.036700000000000066,,,,False,0.036700000000000066
